"","fbi","TN","group","CN","SN","Hand","ri","rt","ti","Handdeg"
"1",0,1,"zero",1,"1",0.117108744566865,0,1.04665207863,225,6.70983680775697
"2",0,1,"zero",1,"10",0.0822879897746819,0,0.91868686676,180,4.71475451870495
"3",0,1,"zero",1,"2",0.0759780306268074,0,0.467821121216,0,4.35322049063177
"4",0,1,"zero",1,"3",0.0499583957219431,0,0.656204938889,270,2.86240522611177
"5",0,1,"zero",1,"4",0.180799573303971,0,0.589124917984,90,10.3590524880837
"6",0,1,"zero",1,"5",-0.0969919993545407,0,0.55020904541,315,-5.55723220955079
"7",0,1,"zero",1,"6",-0.0291179815070386,0,0.960958957672,225,-1.66833744829329
"8",0,1,"zero",1,"7",0.211426444469586,0,0.502540111542,135,12.1138429455643
"9",0,1,"zero",1,"8",-0.267749054020674,0,0.928349971771,45,-15.3408907640049
"10",0,1,"zero",1,"9",-0.111751911486486,0,0.917355060577,135,-6.40291288069519
"11",0,1,"sevenpointfive",1,"1",0.130150164699873,0,0.778419017792,135,7.45705514023527
"12",0,1,"sevenpointfive",1,"10",-0.061650170639259,0,0.849767923355,45,-3.53229458389088
"13",0,1,"sevenpointfive",1,"2",-0.0879084419886889,0,1.01392102242,90,-5.03678270952251
"14",0,1,"sevenpointfive",1,"3",0.0462303817483419,0,3.36575293541,90,2.64880575945862
"15",0,1,"sevenpointfive",1,"4",0.152649328395265,0,1.98266506195,45,8.7461622625552
"16",0,1,"sevenpointfive",1,"5",0.0891936125917339,0,0.844026088715,315,5.11041756103127
"17",0,1,"sevenpointfive",1,"6",-0.184896210830519,0,1.41900396347,225,-10.5937725285498
"18",0,1,"sevenpointfive",1,"7",-0.156601876982015,0,0.634807109833,225,-8.97262661489637
"19",0,1,"sevenpointfive",1,"8",-0.0270204491872648,0,0.733642101288,90,-1.54815769897797
"20",0,1,"sevenpointfive",1,"9",0.244978663126864,0,0.922096014023,135,14.0362434679265
"21",0,1,"fifteen",1,"1",0.0543681364731973,0,1.62964582443,90,3.11506475990548
"22",0,1,"fifteen",1,"10",0.0309179795630424,0,1.21508789062,90,1.77146974003406
"23",0,1,"fifteen",1,"2",0.0809040991552304,0,1.09043693542,0,4.63546342690263
"24",0,1,"fifteen",1,"3",0.147949435307455,0,0.68293595314,90,8.47687822446098
"25",0,1,"fifteen",1,"4",0.0715621769550236,0,0.883429050446,0,4.10021071229121
"26",0,1,"fifteen",1,"5",0.067530010224959,0,1.38600611687,315,3.86918457636545
"27",0,1,"fifteen",1,"6",0.13997212916646,0,0.0991749763489,0,8.01981225069817
"28",0,1,"fifteen",1,"7",0.107427953604656,0,0.41678404808,315,6.15516834327401
"29",0,1,"fifteen",1,"8",0.277947422316615,0,0.157746076584,225,15.9252142252824
"30",0,1,"fifteen",1,"9",0.0730405653031199,0,0.974638223648,225,4.18491612511845
"31",0,1,"thirty",1,"1",0.0451000384027741,0,0.683090925217,225,2.58404185635689
"32",0,1,"thirty",1,"10",-0.0240917234249213,0,1.26607298851,180,-1.38035407344445
"33",0,1,"thirty",1,"2",0.0447462314546157,0,0.516668081284,0,2.56377021146501
"34",0,1,"thirty",1,"3",0.0413298347772765,0,0.895997047424,270,2.36802510071096
"35",0,1,"thirty",1,"4",0.0000000000000000612323399573677,0,4.90140509605,90,0.00000000000000350835464926744
"36",0,1,"thirty",1,"5",0.130566094799628,0,0.833209991455,315,7.48088617952369
"37",0,1,"thirty",1,"6",-0.593477001414188,0,1.05165195465,225,-34.0037274191126
"38",0,1,"thirty",1,"7",0.235838149871069,0,2.20051693916,135,13.512530635786
"39",0,1,"thirty",1,"8",0.00740727193116457,0,0.819373846054,45,0.424405419361449
"40",0,1,"thirty",1,"9",0.214060683563821,0,0.963278770447,135,12.2647737278924
"41",0,1,"fourtyfive",1,"1",-0.0850655399686444,0,1.06088495255,225,-4.87389642220474
"42",0,1,"fourtyfive",1,"10",-0.0302937599187751,0,1.5672712326,180,-1.73570458892839
"43",0,1,"fourtyfive",1,"2",0.254895693380967,0,0.82528591156,0,14.6044474467901
"44",0,1,"fourtyfive",1,"3",0.0142339140828152,0,0.783901929855,270,0.815543202897137
"45",0,1,"fourtyfive",1,"4",-0.434997833353096,0,0.819386959076,90,-24.9235399484675
"46",0,1,"fourtyfive",1,"5",0.104736627239644,0,0.70014500618,315,6.00096670126653
"47",0,1,"fourtyfive",1,"6",0.0427950144186805,0,1.1331679821,225,2.4519737103919
"48",0,1,"fourtyfive",1,"7",0.413098672734423,0,0.604243040085,135,23.6688104701385
"49",0,1,"fourtyfive",1,"8",-0.0893139929932223,0,1.54060602188,45,-5.11731484997264
"50",0,1,"fourtyfive",1,"9",0.205885921868955,0,1.06708097458,135,11.7963943842513
"51",0,1,"sixty",1,"1",0.0817843806179964,0,0.514816999435,270,4.68589983950273
"52",0,1,"sixty",1,"10",-0.0308690510964994,0,1.13305497169,315,-1.7686663454031
"53",0,1,"sixty",1,"2",-0.0660801208667923,0,1.05137395859,270,-3.78611203538156
"54",0,1,"sixty",1,"3",-0.00353355419786173,0,0.561745882034,90,-0.202457742218212
"55",0,1,"sixty",1,"4",0.146012257711276,0,1.01607489586,315,8.36588612403262
"56",0,1,"sixty",1,"5",0.215127691268152,0,0.782130002975,315,12.3259087660585
"57",0,1,"sixty",1,"6",-0.0800753242745374,0,1.11308002472,225,-4.58797812407246
"58",0,1,"sixty",1,"7",0.0482384111779384,0,1.20044589043,0,2.76385737091256
"59",0,1,"sixty",1,"8",0.000000000000000183697019872103,0,0.505726099014,270,0.0000000000000105250639478023
"60",0,1,"sixty",1,"9",0.10768987083282,0,0.664211034775,90,6.17017509502957
"61",0,1,"ninetyfive",1,"1",0.0252471595441624,0,0.966537952423,225,1.44655568657394
"62",0,1,"ninetyfive",1,"10",0.0809040991552306,0,1.48918509483,180,4.63546342690264
"63",0,1,"ninetyfive",1,"2",-0.0511498845198141,0,3.11164498329,0,-2.93067250556689
"64",0,1,"ninetyfive",1,"3",0.196078037555575,0,0.817753076553,270,11.2344440071421
"65",0,1,"ninetyfive",1,"4",0.052036314809216,0,0.948317050934,90,2.98146121998218
"66",0,1,"ninetyfive",1,"5",-0.0694325735102147,0,0.682306051254,315,-3.97819342286714
"67",0,1,"ninetyfive",1,"6",-0.0338035436934548,0,0.823581933975,225,-1.93680038622103
"68",0,1,"ninetyfive",1,"7",0.252479965010566,0,0.452421188354,135,14.4660364067161
"69",0,1,"ninetyfive",1,"8",-0.0419921072213695,0,3.8774728775,45,-2.4059705166453
"70",0,1,"ninetyfive",1,"9",-0.155239480004779,0,0.567613124847,135,-8.89456701807937
"71",0,1,"onethirtyfive",1,"1",0.341267595428008,0,0.769280195236,225,19.5531929026029
"72",0,1,"onethirtyfive",1,"10",0.196055078079055,0,0.867732048035,180,11.2331285260377
"73",0,1,"onethirtyfive",1,"2",0.108052091228099,0,0.686986923218,0,6.19092879493262
"74",0,1,"onethirtyfive",1,"3",0.0302937599187757,0,1.07392096519,270,1.73570458892842
"75",0,1,"onethirtyfive",1,"4",0.219430560349683,0,0.609868049622,90,12.5724450042275
"76",0,1,"onethirtyfive",1,"5",0.189000234705708,0,0.799246072769,315,10.8289157756191
"77",0,1,"onethirtyfive",1,"6",-0.114969862900542,0,0.967602014542,225,-6.58728791539876
"78",0,1,"onethirtyfive",1,"7",0.0149988751518505,0,0.522959947586,135,0.859372243644675
"79",0,1,"onethirtyfive",1,"8",0.618013603738865,0,1.10941290855,45,35.4095711759074
"80",0,1,"onethirtyfive",1,"9",0.223582275873411,0,0.636114120483,135,12.8103207814761
"81",0,1,"oneeightyfive",1,"1",-0.0865885034958057,0,0.900298118591,0,-4.96115580466344
"82",0,1,"oneeightyfive",1,"10",0.0906598872007449,0,0.915807008743,0,5.19442890773479
"83",0,1,"oneeightyfive",1,"2",-0.0368105601351705,0,1.21632814407,45,-2.10908973725779
"84",0,1,"oneeightyfive",1,"3",0.563202586375941,0,1.06454706192,315,32.2691312101936
"85",0,1,"oneeightyfive",1,"4",0.170211925285475,0,1.14518284798,315,9.75242494165382
"86",0,1,"oneeightyfive",1,"5",0.328222955923938,0,0.965721845627,315,18.8057901137501
"87",0,1,"oneeightyfive",1,"6",-0.0590445896727556,0,0.651057958603,0,-3.38300579133062
"88",0,1,"oneeightyfive",1,"7",-0.0511498845198144,0,0.233737945557,90,-2.93067250556691
"89",0,1,"oneeightyfive",1,"8",0.181020360406417,0,1.26774001122,315,10.3717026572248
"90",0,1,"oneeightyfive",1,"9",0.152392852381396,0,0.810137033463,90,8.73146726941417
"91",0,2,"zero",1,"1",-0.0624188099959574,0,0.609767913818,90,-3.57633437499735
"92",0,2,"zero",1,"10",0.187997340323097,0,0.536879062653,315,10.7714541601981
"93",0,2,"zero",1,"2",0.156601876982016,0,0.395056962967,315,8.97262661489643
"94",0,2,"zero",1,"3",0.0643179425513245,0,0.52347111702,0,3.68514665515578
"95",0,2,"zero",1,"4",-0.118005873512785,0,0.742135047913,225,-6.76123851003721
"96",0,2,"zero",1,"5",0.201219632987485,0,0.555104017258,135,11.5290357253543
"97",0,2,"zero",1,"6",0.084071031713475,0,0.568819999695,135,4.81691529649262
"98",0,2,"zero",1,"7",-0.097868150295632,0,0.481075048447,225,-5.60743196069173
"99",0,2,"zero",1,"8",0.0413557173738124,0,0.554580926895,270,2.3695080642553
"100",0,2,"zero",1,"9",0.0136510291107582,0,0.466360092163,180,0.78214635405667
"101",0,2,"sevenpointfive",1,"1",0.14044848005002,0,0.652943134308,270,8.04710514589349
"102",0,2,"sevenpointfive",1,"10",0.0381047141471217,0,0.56858587265,225,2.18323930018251
"103",0,2,"sevenpointfive",1,"2",-0.162831184460417,0,0.562395095825,225,-9.32953964269809
"104",0,2,"sevenpointfive",1,"3",0.122116609924763,0,0.536686897278,0,6.9967663571343
"105",0,2,"sevenpointfive",1,"4",0.135094438449356,0,0.569105863571,315,7.74034115883797
"106",0,2,"sevenpointfive",1,"5",-0.0153049273241921,0,0.602453947067,45,-0.87690774143066
"107",0,2,"sevenpointfive",1,"6",-0.23915025285573,0,2.81721711159,45,-13.7023001581198
"108",0,2,"sevenpointfive",1,"7",0.131441161889139,0,0.968522071838,90,7.53102383054347
"109",0,2,"sevenpointfive",1,"8",0.0947855381821054,0,0.543108224869,0,5.43081129671076
"110",0,2,"sevenpointfive",1,"9",-0.0139851021648812,0,0.559663057327,270,-0.801287330106964
"111",0,2,"fifteen",1,"1",0.088438655847177,0,0.976475954056,180,5.06716172585322
"112",0,2,"fifteen",1,"10",0.160036900852846,0,0.676440954208,0,9.16943898522168
"113",0,2,"fifteen",1,"2",0.104749663689557,0,0.5320789814,315,6.00171363482638
"114",0,2,"fifteen",1,"3",-0.0228097315444838,0,0.693643093109,180,-1.30690134932534
"115",0,2,"fifteen",1,"4",-0.00716833599709196,0,0.650179862976,90,-0.410715398765072
"116",0,2,"fifteen",1,"5",-0.116784595469627,0,0.650280952454,225,-6.69126443255226
"117",0,2,"fifteen",1,"6",0.282554952469588,0,1.09238100052,315,16.189206257027
"118",0,2,"fifteen",1,"7",0.0272885097625356,0,0.450812101364,45,1.56351643859483
"119",0,2,"fifteen",1,"8",-0.0805101916125787,0,0.843392133713,45,-4.61289418719032
"120",0,2,"fifteen",1,"9",0.044643856352598,0,0.634570837021,90,2.55790455019217
"121",0,2,"thirty",1,"1",0.00680261615480817,0,1.28164196014,90,0.389761195318021
"122",0,2,"thirty",1,"10",0.109420363424903,0,0.895331144333,315,6.26932501703458
"123",0,2,"thirty",1,"2",-0.014325667490177,0,0.465892791748,315,-0.820800285894913
"124",0,2,"thirty",1,"3",0.0896868093372615,0,0.73430109024,0,5.13867565301959
"125",0,2,"thirty",1,"4",-0.0119326078421575,0,0.785465955734,225,-0.683688067940333
"126",0,2,"thirty",1,"5",0.125707258766451,0,0.69632101059,135,7.20249538147656
"127",0,2,"thirty",1,"6",0.187105932362819,0,0.456379890442,135,10.7203802462498
"128",0,2,"thirty",1,"7",-0.0248396105040884,0,0.870306015015,225,-1.42320484663309
"129",0,2,"thirty",1,"8",0.189988287918716,0,0.544926166534,270,10.8855270546588
"130",0,2,"thirty",1,"9",0.248962705792717,0,0.504404067993,180,14.2645122980799
"131",0,2,"fourtyfive",1,"1",0.250749415225909,0,0.53616809845,90,14.366883207818
"132",0,2,"fourtyfive",1,"10",0.225276779214056,0,0.594614982605,315,12.9074086712659
"133",0,2,"fourtyfive",1,"2",0.454425209076344,0,0.520932197571,315,26.0366465844245
"134",0,2,"fourtyfive",1,"3",0.0340004974724211,0,0.533843040466,0,1.94808500651495
"135",0,2,"fourtyfive",1,"4",-0.0694325735102148,0,0.833350896835,225,-3.97819342286715
"136",0,2,"fourtyfive",1,"5",0.246137411159812,0,0.602545022964,135,14.1026348397335
"137",0,2,"fourtyfive",1,"6",0.555755721112314,0,0.559727907181,135,31.8424572599852
"138",0,2,"fourtyfive",1,"7",0.0787174141069639,0,1.4161670208,225,4.5101756025126
"139",0,2,"fourtyfive",1,"8",0.0613563369575843,0,0.0734448432922,270,3.51545915405213
"140",0,2,"fourtyfive",1,"9",0.101536412739868,0,0.548475980759,180,5.8176079168928
"141",0,2,"sixty",1,"1",-0.0181139606114337,0,0.499089956284,0,-1.03785349330136
"142",0,2,"sixty",1,"10",0.346335763766502,0,0.699319124222,135,19.8435775582605
"143",0,2,"sixty",1,"2",0.343644865519421,0,0.444699048996,180,19.6894004456036
"144",0,2,"sixty",1,"3",-0.0726872500428237,0,0.747971057892,225,-4.16467265186591
"145",0,2,"sixty",1,"4",0.0563917609259591,0,0.715162038803,90,3.2310099003682
"146",0,2,"sixty",1,"5",0.0962269834797987,0,0.816291809082,180,5.51340002866756
"147",0,2,"sixty",1,"6",-0.0240917234249213,0,0.462690114975,90,-1.38035407344445
"148",0,2,"sixty",1,"7",0.144112708290189,0,0.761834859848,315,8.25704995922782
"149",0,2,"sixty",1,"8",-0.00507609853329852,0,0.37499499321,0,-0.290839022350553
"150",0,2,"sixty",1,"9",-0.118180227395757,0,0.425090074539,225,-6.77122825167322
"151",0,2,"ninetyfive",1,"1",0.109900219047489,0,0.586547851562,90,6.29681871898438
"152",0,2,"ninetyfive",1,"10",0.182230845648719,0,0.516715049744,315,10.4410583527715
"153",0,2,"ninetyfive",1,"2",0.705568177685211,0,0.837989807129,315,40.4260787400991
"154",0,2,"ninetyfive",1,"3",0.170016511009692,0,0.465310096741,0,9.74122852839485
"155",0,2,"ninetyfive",1,"4",0.0672301961186937,0,0.532240152359,225,3.85200649343796
"156",0,2,"ninetyfive",1,"5",0.118661319183878,0,0.726922988892,135,6.79879278069096
"157",0,2,"ninetyfive",1,"6",0.0548375668092417,0,0.783596038818,135,3.14196113693623
"158",0,2,"ninetyfive",1,"7",-0.0171411781386082,0,1.36866116524,225,-0.982117163224162
"159",0,2,"ninetyfive",1,"8",0.000000000000000183697019872103,0,1.00098896027,270,0.0000000000000105250639478023
"160",0,2,"ninetyfive",1,"9",0.044505006034135,0,0.42804813385,180,2.5499490129602
"161",0,2,"onethirtyfive",1,"1",-0.00346019380282533,0,0.60003900528,90,-0.198254501199214
"162",0,2,"onethirtyfive",1,"10",0.262906181251682,0,0.567471027374,315,15.0634145936228
"163",0,2,"onethirtyfive",1,"2",0.150224412424542,0,0.519024848938,315,8.6072248117589
"164",0,2,"onethirtyfive",1,"3",-0.0649768943755793,0,0.599992990494,0,-3.72290181358803
"165",0,2,"onethirtyfive",1,"4",0.151191906982853,0,0.497301101685,225,8.662658166652
"166",0,2,"onethirtyfive",1,"5",0.282400798008037,0,0.583384037018,135,16.180373856987
"167",0,2,"onethirtyfive",1,"6",0.329562895456743,0,0.589578151703,135,18.8825629937825
"168",0,2,"onethirtyfive",1,"7",-0.091105123146391,0,0.436995029449,225,-5.21993904830783
"169",0,2,"onethirtyfive",1,"8",0.136946599995321,0,0.0306029319763,270,7.84646219839819
